peptide,weaker_dG,stronger_dG,weaker_hit,weaker_score,source_face,face_rank
Full_Library_Hit_3019,-37.52,-39.57,4,0.6540697674418605,mll,21
Full_Library_Hit_2736,-35.91,-38.66,6,0.8359634551495019,cmyb,27
Full_Library_Hit_1805,-35.44,-35.53,4,0.657392026578073,cmyb,36
Full_Library_Hit_383,-35.12,-36.86,4,0.627076411960133,cmyb,16
Full_Library_Hit_7965,-34.49,-39.17,5,0.6549003322259138,cmyb,24
Full_Library_Hit_153,-32.83,-39.8,4,0.1690199335548173,mll,37
Full_Library_Hit_200,-32.57,-40.59,3,0.1881229235880399,cmyb,2
Full_Library_Hit_22416,-31.88,-34.69,4,0.4198504983388704,cmyb,4
Full_Library_Hit_22410,-31.61,-45.09,5,0.2562292358803987,mll,31
Full_Library_Hit_40119,-31.3,-47.62,4,0.6640365448504983,mll,19
Full_Library_Hit_253,-31.28,-32.61,5,0.4746677740863788,cmyb,15
Full_Library_Hit_258,-31.24,-36.54,2,0.337624584717608,mll,17
Full_Library_Hit_4875,-30.84,-35.28,4,0.6125415282392027,mll,18
Full_Library_Hit_3296,-30.59,-35.77,5,0.5950996677740864,mll,39
Full_Library_Hit_51,-30.45,-37.3,4,0.3010797342192692,cmyb,40
