peptide,group,weaker_dG,stronger_dG,weaker_score,stronger_score,weaker_hit,faces
Full_Library_Hit_10,candidate,-26.16,-27.34,0.3085548172757475,0.5045681063122923,0,cmyb+neither
Full_Library_Hit_1004,candidate,-26.32,-28.16,0.3434385382059801,0.5959302325581396,0,cmyb+neither
Full_Library_Hit_103,candidate,-23.5,-36.05,0.29194352159468445,0.5170265780730898,4,cmyb+mll
Full_Library_Hit_1033,candidate,-24.32,-29.89,0.6382890365448506,0.6690199335548174,6,cmyb+mll
Full_Library_Hit_10435,candidate,-23.06,-24.8,0.3525747508305649,0.39659468438538215,4,cmyb+mll
Full_Library_Hit_1137,candidate,-10.98,-33.04,0.11544850498338874,0.2022425249169435,4,cmyb+mll
Full_Library_Hit_114,candidate,-23.78,-42.17,0.33430232558139544,0.4123754152823921,6,cmyb+mll
Full_Library_Hit_1198,candidate,-28.86,-33.99,0.5004152823920267,0.6075581395348838,6,cmyb+mll
Full_Library_Hit_12,candidate,-31.29,-36.91,0.35672757475083056,0.5436046511627908,0,cmyb+neither
Full_Library_Hit_12055,candidate,-22.6,-27.8,0.4779900332225914,0.6000830564784054,0,cmyb+neither
Full_Library_Hit_13284,candidate,-20.89,-22.47,0.3808139534883721,0.44227574750830567,6,cmyb+mll
Full_Library_Hit_1365,candidate,-22.68,-38.54,0.4024086378737542,0.5186877076411961,5,cmyb+mll
Full_Library_Hit_1376,candidate,-24.55,-25.24,0.5390365448504985,0.6665282392026579,4,cmyb+cmyb
Full_Library_Hit_1394,candidate,-31.11,-36.87,0.4381229235880399,0.6549003322259137,0,mll+neither
Full_Library_Hit_143,candidate,-28.22,-30.52,0.4588870431893689,0.7346345514950168,5,cmyb+mll
Full_Library_Hit_14510,candidate,-18.1,-29.47,0.5352990033222592,0.603405315614618,5,cmyb+mll
Full_Library_Hit_1510,candidate,-26.66,-29.98,0.5029069767441862,0.523671096345515,4,cmyb+mll
Full_Library_Hit_153,candidate,-32.83,-39.8,0.16901993355481731,0.23795681063122925,4,cmyb+mll
Full_Library_Hit_1530,candidate,-28.04,-32.98,0.36669435215946855,0.5103820598006645,4,cmyb+mll
Full_Library_Hit_15488,candidate,-30.09,-33.36,0.661544850498339,0.7396179401993356,5,cmyb+mll
Full_Library_Hit_15622,candidate,-33.85,-33.96,0.46470099667774095,0.5344684385382059,0,cmyb+neither
Full_Library_Hit_16172,candidate,-24.58,-29.82,0.6183554817275748,0.6357973421926911,5,cmyb+mll
Full_Library_Hit_17175,candidate,-28.35,-40.2,0.3085548172757475,0.4663621262458472,4,cmyb+mll
Full_Library_Hit_174,candidate,-28.38,-48.1,0.21262458471760803,0.40240863787375414,5,cmyb+mll
Full_Library_Hit_1805,candidate,-35.44,-35.53,0.657392026578073,0.7279900332225915,4,cmyb+mll
Full_Library_Hit_1812,candidate,-22.28,-31.14,0.4663621262458472,0.7803156146179404,0,mll+neither
